1	5	9	25	47	68	94	118	133	88	49
1	5	10	22	47	71	95	118	103	74	49
1	5	10	24	46	72	84	115	93	87	49
1	5	9	25	47	72	96	119	110	76	49
1	5	10	23	48	69	94	118	105	101	49
1	5	9	24	49	74	93	104	106	99	49
1	4	9	22	46	70	87	104	122	103	49
1	4	9	23	45	74	96	105	100	65	49
1	5	9	24	46	69	89	107	133	96	49
1	5	10	24	47	70	93	102	117	96	49
1	5	9	24	47	69	88	108	109	66	49
1	5	8	25	46	71	93	114	122	94	49
0	3	8	22	48	69	93	118	119	66	49
1	5	8	24	47	72	88	102	84	76	49
1	5	10	24	47	71	92	118	98	84	49
1	5	9	23	45	72	98	113	110	89	49
1	5	9	21	48	73	94	117	98	59	49
1	5	9	22	47	72	96	119	119	105	49
1	5	10	21	48	72	94	119	72	54	49
1	5	10	25	44	69	96	105	82	77	49
1	5	9	22	46	68	94	118	106	90	49
1	5	9	24	47	73	96	117	119	127	49
1	5	9	23	48	72	92	118	104	94	49
1	4	9	22	46	68	94	103	108	89	49
1	4	10	21	47	70	94	104	116	88	49
1	4	10	24	49	69	91	115	119	84	49
1	5	9	22	49	70	87	118	88	61	49
1	5	9	25	49	70	95	118	133	61	49
1	5	8	24	45	68	93	117	113	87	49
1	5	8	25	43	68	95	113	111	91	49
1	5	9	24	46	70	95	117	115	80	49
1	5	10	24	47	73	95	113	113	125	49
1	5	10	22	49	70	95	120	115	124	49
1	5	9	24	47	69	93	119	117	116	49
1	5	10	25	48	73	94	117	81	91	49
1	5	9	22	48	70	98	118	115	100	49
1	5	10	23	47	72	93	121	132	107	49
1	4	8	24	47	70	93	103	123	81	49
1	5	8	24	45	69	94	118	86	107	49
1	5	8	24	45	68	99	115	114	37	49
1	5	9	23	47	69	95	120	96	71	49
0	5	8	23	46	71	94	119	120	84	49
1	5	8	24	49	71	97	118	92	96	49
1	4	10	23	47	68	96	109	117	71	49
1	5	9	21	48	67	94	119	104	63	49
1	4	9	25	49	71	95	118	88	95	49
1	5	8	23	48	72	92	100	119	114	49
1	5	10	23	45	71	91	117	113	84	49
1	5	8	24	47	72	94	118	117	104	49
1	5	10	24	47	68	96	118	111	84	49
1	5	10	21	48	71	93	116	119	80	49
1	5	10	22	47	71	95	120	120	88	49
1	4	8	24	45	67	96	118	113	64	49
1	3	9	24	50	72	96	118	102	77	49
1	5	10	23	47	63	94	117	122	103	49
1	4	8	24	48	71	94	102	132	101	49
1	5	10	22	45	68	95	111	128	91	49
1	5	10	24	48	71	93	115	132	116	49
1	5	9	22	45	70	95	105	124	102	49
1	4	10	24	45	73	98	115	123	84	49
1	5	9	22	46	70	93	100	101	52	49
0	5	9	25	47	72	83	101	118	93	49
1	4	10	22	47	71	93	107	105	110	49
1	4	10	23	46	68	92	115	86	95	49
1	4	8	24	45	72	84	117	134	86	49
0	5	9	24	48	71	92	118	109	91	49
1	4	9	24	45	71	96	122	96	71	49
1	4	9	22	45	73	95	118	75	65	49
1	5	10	22	44	71	91	120	119	104	49
1	5	8	23	44	71	94	88	101	89	49
1	5	9	24	44	73	94	118	79	59	49
1	5	9	24	47	71	93	113	105	79	49
1	5	9	25	47	71	96	117	86	124	49
1	5	9	25	47	70	93	119	110	110	49
1	5	10	25	47	70	98	115	95	79	49
1	5	10	24	46	68	92	113	91	89	49
1	5	8	24	48	69	94	118	102	65	49
1	5	10	23	46	71	94	98	98	84	49
1	5	10	23	47	71	92	118	113	69	49
1	5	10	23	48	71	95	118	103	64	49
1	5	9	22	48	72	85	115	84	78	49
0	5	9	24	46	73	84	118	117	84	49
1	5	10	24	48	67	95	120	114	65	49
1	5	9	25	46	71	97	113	133	88	49
1	5	10	23	48	72	94	117	73	37	49
0	5	9	23	47	74	90	119	106	97	49
1	4	9	25	46	72	96	117	79	107	49
1	5	10	24	47	72	94	99	108	94	49
1	5	9	25	47	70	94	110	102	73	49
1	5	10	24	46	71	95	113	109	96	49
1	5	9	24	47	73	94	102	122	106	49
1	4	9	23	48	66	96	119	107	88	49
1	5	10	23	48	72	98	117	100	118	49
1	5	10	24	45	72	94	103	93	84	49
1	5	9	25	47	71	96	118	113	68	49
1	5	9	23	46	70	95	118	94	114	49
1	5	10	23	46	72	95	94	86	98	49
1	5	9	23	46	69	96	119	116	64	49
0	4	9	23	47	72	94	103	110	99	49
1	5	10	23	47	70	94	118	108	50	49
